Time,Publication,Sent
2022-05-11 06:19:36.940168+10:00,SBS,12
2022-05-11 06:19:55.036686+10:00,The Guardian,10
2022-05-11 06:20:04.650128+10:00,News,0
2022-05-11 06:20:06.387205+10:00,SMH,8
2022-05-11 18:23:34.301641+10:00,ABC,20
2022-05-11 18:23:55.823288+10:00,SBS,12
2022-05-11 18:24:08.762847+10:00,The Guardian,10
2022-05-11 18:24:18.352597+10:00,News,0
2022-05-11 18:24:20.216291+10:00,SMH,9
2022-05-12 06:18:46.082423+10:00,ABC,20
2022-05-12 06:19:07.383112+10:00,SBS,12
2022-05-12 06:19:24.048242+10:00,The Guardian,10
2022-05-12 06:19:33.322973+10:00,News,0
2022-05-12 06:19:35.184429+10:00,SMH,8
2022-05-12 18:21:59.423198+10:00,ABC,20
2022-05-12 18:22:20.146232+10:00,SBS,12
2022-05-12 18:22:36.562236+10:00,The Guardian,11
2022-05-12 18:22:47.602167+10:00,News,0
2022-05-12 18:22:49.342798+10:00,SMH,8
2022-05-13 06:19:21.511652+10:00,ABC,20
2022-05-13 06:19:42.137286+10:00,SBS,12
2022-05-13 06:20:01.125067+10:00,The Guardian,11
2022-05-13 06:20:09.288458+10:00,News,0
2022-05-13 06:20:11.188582+10:00,SMH,8
2022-05-13 18:20:43.342929+10:00,ABC,20
2022-05-13 18:21:00.192601+10:00,SBS,12
2022-05-13 18:21:14.716180+10:00,The Guardian,10
2022-05-13 18:21:24.459826+10:00,News,0
2022-05-13 18:21:26.253816+10:00,SMH,8
2022-05-14 06:19:50.020539+10:00,ABC,20
2022-05-14 06:20:09.026506+10:00,SBS,12
2022-05-14 06:20:24.428758+10:00,The Guardian,10
2022-05-14 06:20:35.499645+10:00,News,0
2022-05-14 06:20:37.252265+10:00,SMH,10
2022-05-14 18:20:55.751317+10:00,ABC,20
2022-05-14 18:21:14.379807+10:00,SBS,12
2022-05-14 18:21:29.898339+10:00,The Guardian,11
2022-05-14 18:21:40.112818+10:00,News,0
2022-05-14 18:21:41.953558+10:00,SMH,10
2022-05-15 06:17:29.510141+10:00,ABC,20
2022-05-15 06:17:52.055960+10:00,SBS,12
2022-05-15 06:18:06.965493+10:00,The Guardian,10
2022-05-15 06:18:16.048252+10:00,News,0
2022-05-15 06:18:17.721894+10:00,SMH,10
2022-05-15 18:20:31.519241+10:00,ABC,20
2022-05-15 18:20:48.931428+10:00,SBS,12
2022-05-15 18:21:02.580772+10:00,The Guardian,10
2022-05-15 18:21:10.681246+10:00,News,0
2022-05-15 18:21:12.589060+10:00,SMH,10
2022-05-16 06:18:19.734594+10:00,ABC,20
2022-05-16 06:18:38.954799+10:00,SBS,12
2022-05-16 06:18:52.791441+10:00,The Guardian,11
2022-05-16 06:19:02.861782+10:00,News,0
2022-05-16 06:19:04.897829+10:00,SMH,8
2022-05-16 18:24:20.963345+10:00,SBS,12
2022-05-16 18:24:38.425986+10:00,News,0
2022-05-16 18:24:40.158914+10:00,SMH,10
2022-05-17 06:19:56.308110+10:00,ABC,20
2022-05-17 06:20:19.426737+10:00,SBS,12
2022-05-17 06:20:36.456838+10:00,News,0
2022-05-17 06:20:43.361976+10:00,SMH,7
